#profile=mem_n909342574_q200000_h100_dense_g1_j0_s17_t16_mwarm
#bench_mode=warm,warmup_runs=1
#n=909342574,queries=200000,runs=3
#workload=hit_rate_pct=100,data_gap=1,data_gap_jitter=0,query_stride=17,query_effective_stride=17,query_cycle=909342574,expected_hits=200000,expected_misses=0
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.006,data_init=3054.994,query_alloc=0.019,query_init=1.641,total=3056.660
#buffer_bytes=data=7274740592,queries=1600000,batch=4800000,total=7281140592,data_gib=6.775130,total_gib=6.781091
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,50.31,9.60,4.48,17.60,3.71,1,1,1,c_openmp,9,1073741824,262144,16,2.59,2.59,0.006,3054.994,0.019,1.641,3056.660,7274740592,1600000,4800000,7281140592,6.775130,6.781091,673.387,3529.015,7569.944,1924.568,9137.849,warm,1
2,50.53,9.74,4.07,16.27,4.44,1,1,1,c_openmp,9,1073741824,262144,16,3.53,3.53,0.006,3054.994,0.019,1.641,3056.660,7274740592,1600000,4800000,7281140592,6.775130,6.781091,670.348,3476.399,8323.256,2081.882,7624.911,warm,1
3,50.30,9.73,4.99,16.10,4.63,1,1,1,c_openmp,9,1073741824,262144,16,3.73,3.73,0.006,3054.994,0.019,1.641,3056.660,7274740592,1600000,4800000,7281140592,6.775130,6.781091,673.505,3480.278,6782.319,2104.679,7318.705,warm,1
