#profile=mem_n909342574_q200000_h50_jitter_g8_j8_s17_t16_mwarm
#bench_mode=warm,warmup_runs=1
#n=909342574,queries=200000,runs=3
#workload=hit_rate_pct=50,data_gap=8,data_gap_jitter=8,query_stride=17,query_effective_stride=17,query_cycle=909342574,expected_hits=100000,expected_misses=100000
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.007,data_init=3614.793,query_alloc=0.022,query_init=1.768,total=3616.590
#buffer_bytes=data=7274740592,queries=1600000,batch=4800000,total=7281140592,data_gib=6.775130,total_gib=6.781091
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,35.40,7.19,3.02,14.56,2.77,1,1,1,c_openmp,9,1073741824,262144,16,1.97,1.97,0.007,3614.793,0.022,1.768,3616.590,7274740592,1600000,4800000,7281140592,6.775130,6.781091,957.014,4713.865,11224.406,2326.983,12249.022,warm,1
2,36.34,6.56,3.02,13.02,2.79,1,1,1,c_openmp,9,1073741824,262144,16,1.93,1.93,0.007,3614.793,0.022,1.768,3616.590,7274740592,1600000,4800000,7281140592,6.775130,6.781091,932.069,5162.759,11231.235,2601.329,12126.858,warm,1
3,39.13,6.76,3.05,13.95,2.85,1,1,1,c_openmp,9,1073741824,262144,16,1.92,1.92,0.007,3614.793,0.022,1.768,3616.590,7274740592,1600000,4800000,7281140592,6.775130,6.781091,865.685,5008.550,11112.965,2428.875,11892.661,warm,1
