#profile=mem_n909342574_q200000_h50_dense_g1_j0_s17_t16_mwarm
#bench_mode=warm,warmup_runs=1
#n=909342574,queries=200000,runs=3
#workload=hit_rate_pct=50,data_gap=1,data_gap_jitter=0,query_stride=17,query_effective_stride=17,query_cycle=909342574,expected_hits=100000,expected_misses=100000
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.010,data_init=3064.081,query_alloc=0.011,query_init=1.259,total=3065.361
#buffer_bytes=data=7274740592,queries=1600000,batch=4800000,total=7281140592,data_gib=6.775130,total_gib=6.781091
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,37.90,6.64,2.98,16.75,3.41,1,1,1,c_openmp,9,1073741824,262144,16,2.09,2.09,0.010,3064.081,0.011,1.259,3065.361,7274740592,1600000,4800000,7281140592,6.775130,6.781091,893.772,5102.488,11374.023,2022.243,9946.080,warm,1
2,40.17,6.59,2.91,13.74,2.53,1,1,1,c_openmp,9,1073741824,262144,16,1.73,1.73,0.010,3064.081,0.011,1.259,3065.361,7274740592,1600000,4800000,7281140592,6.775130,6.781091,843.219,5137.165,11635.779,2465.392,13366.076,warm,1
3,37.35,6.94,3.01,12.95,2.73,1,1,1,c_openmp,9,1073741824,262144,16,1.87,1.87,0.010,3064.081,0.011,1.259,3065.361,7274740592,1600000,4800000,7281140592,6.775130,6.781091,906.905,4882.389,11253.117,2615.903,12396.040,warm,1
