#profile=mem_n903742574_q1000000_h50_jitter_g8_j8_s17_t16_mcold
#bench_mode=cold,warmup_runs=0
#n=903742574,queries=1000000,runs=3
#workload=hit_rate_pct=50,data_gap=8,data_gap_jitter=8,query_stride=17,query_effective_stride=17,query_cycle=903742574,expected_hits=500000,expected_misses=500000
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.007,data_init=3689.936,query_alloc=0.010,query_init=6.152,total=3696.106
#buffer_bytes=data=7229940592,queries=8000000,batch=24000000,total=7261940592,data_gib=6.733407,total_gib=6.763209
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,41.56,9.14,9.11,15.05,3.62,1,1,1,c_openmp,9,1073741824,1048576,16,1.99,1.99,0.007,3689.936,0.010,6.152,3696.106,7229940592,8000000,24000000,7261940592,6.733407,6.763209,162.029,736.616,739.433,447.429,1858.805,cold,0
2,41.75,9.48,3.99,15.82,3.67,1,1,1,c_openmp,9,1073741824,1048576,16,2.02,2.02,0.007,3689.936,0.010,6.152,3696.106,7229940592,8000000,24000000,7261940592,6.733407,6.763209,161.264,710.126,1688.291,425.670,1833.079,cold,0
3,42.73,9.06,4.00,15.90,3.63,1,1,1,c_openmp,9,1073741824,1048576,16,1.96,1.96,0.007,3689.936,0.010,6.152,3696.106,7229940592,8000000,24000000,7261940592,6.733407,6.763209,157.572,743.147,1683.226,423.424,1856.355,cold,0
