#profile=mem_n909342574_q200000_h0_dense_g1_j0_s17_t16_mwarm
#bench_mode=warm,warmup_runs=1
#n=909342574,queries=200000,runs=3
#workload=hit_rate_pct=0,data_gap=1,data_gap_jitter=0,query_stride=17,query_effective_stride=17,query_cycle=909342574,expected_hits=0,expected_misses=200000
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.009,data_init=3087.774,query_alloc=0.010,query_init=0.507,total=3088.301
#buffer_bytes=data=7274740592,queries=1600000,batch=4800000,total=7281140592,data_gib=6.775130,total_gib=6.781091
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,18.39,2.56,2.17,12.47,1.73,1,1,1,c_openmp,9,1073741824,262144,16,1.01,1.01,0.009,3087.774,0.010,0.507,3088.301,7274740592,1600000,4800000,7281140592,6.775130,6.781091,1842.410,13208.709,15589.419,2715.799,19547.855,warm,1
2,18.88,2.38,2.29,10.93,1.73,1,1,1,c_openmp,9,1073741824,262144,16,0.99,0.99,0.009,3087.774,0.010,0.507,3088.301,7274740592,1600000,4800000,7281140592,6.775130,6.781091,1794.728,14204.520,14803.268,3100.051,19579.943,warm,1
3,19.64,2.59,2.55,10.13,1.86,1,1,1,c_openmp,9,1073741824,262144,16,1.10,1.10,0.009,3087.774,0.010,0.507,3088.301,7274740592,1600000,4800000,7281140592,6.775130,6.781091,1724.710,13063.237,13289.963,3343.739,18236.737,warm,1
