#profile=mem_n32000000_q200000_h100_dense_g1_j0_s17_t8_mwarm
#bench_mode=warm,warmup_runs=1
#n=32000000,queries=200000,runs=3
#workload=hit_rate_pct=100,data_gap=1,data_gap_jitter=0,query_stride=17,query_effective_stride=17,query_cycle=32000000,expected_hits=200000,expected_misses=0
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.008,data_init=111.310,query_alloc=0.015,query_init=1.497,total=112.830
#buffer_bytes=data=256000000,queries=1600000,batch=4800000,total=262400000,data_gib=0.238419,total_gib=0.244379
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,49.67,8.89,5.46,14.98,4.35,1,1,1,c_openmp,9,33554432,262144,8,3.42,3.42,0.008,111.310,0.015,1.497,112.830,256000000,1600000,4800000,262400000,0.238419,0.244379,24.000,134.108,218.454,79.552,273.909,warm,1
2,49.01,10.05,5.06,15.63,4.62,1,1,1,c_openmp,9,33554432,262144,8,3.71,3.71,0.008,111.310,0.015,1.497,112.830,256000000,1600000,4800000,262400000,0.238419,0.244379,24.323,118.621,235.424,76.256,257.892,warm,1
3,48.80,9.77,5.13,17.04,4.96,1,1,1,c_openmp,9,33554432,262144,8,4.07,4.07,0.008,111.310,0.015,1.497,112.830,256000000,1600000,4800000,262400000,0.238419,0.244379,24.429,122.048,232.171,69.958,240.473,warm,1
