#profile=mem_n32000000_q1000000_h100_dense_g1_j0_s17_t4_mwarm
#bench_mode=warm,warmup_runs=1
#n=32000000,queries=1000000,runs=3
#workload=hit_rate_pct=100,data_gap=1,data_gap_jitter=0,query_stride=17,query_effective_stride=17,query_cycle=32000000,expected_hits=1000000,expected_misses=0
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.006,data_init=118.612,query_alloc=0.011,query_init=10.902,total=129.532
#buffer_bytes=data=256000000,queries=8000000,batch=24000000,total=288000000,data_gib=0.238419,total_gib=0.268221
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,57.36,9.74,9.32,21.51,8.90,1,1,1,c_openmp,9,33554432,1048576,4,6.97,6.97,0.006,118.612,0.011,10.902,129.532,256000000,8000000,24000000,288000000,0.238419,0.268221,4.157,24.485,25.586,11.082,26.797,warm,1
2,54.03,9.10,9.00,19.30,8.82,1,1,1,c_openmp,9,33554432,1048576,4,6.87,6.87,0.006,118.612,0.011,10.902,129.532,256000000,8000000,24000000,288000000,0.238419,0.268221,4.413,26.189,26.504,12.354,27.029,warm,1
3,54.16,9.37,9.09,18.92,9.05,1,1,1,c_openmp,9,33554432,1048576,4,7.20,7.20,0.006,118.612,0.011,10.902,129.532,256000000,8000000,24000000,288000000,0.238419,0.268221,4.402,25.439,26.223,12.601,26.352,warm,1
