#profile=n1000000_q32768_h100_dense_g1_j0_s1_t16
#n=1000000,queries=32768,runs=5
#workload=hit_rate_pct=100,data_gap=1,data_gap_jitter=0,query_stride=1,query_effective_stride=1,query_cycle=1000000,expected_hits=32768,expected_misses=0
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.009,data_init=3.708,query_alloc=0.008,query_init=0.158,total=3.884
#buffer_bytes=data=8000000,queries=262144,batch=786432,total=9048576
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes
1,55.73,17.10,36.16,16.28,8.52,1,1,1,c_openmp,9,1048576,32768,16,7.60,7.60,0.009,3.708,0.008,0.158,3.884,8000000,262144,786432,9048576
2,31.72,7.26,5.42,7.39,3.51,1,1,1,c_openmp,9,1048576,32768,16,2.98,2.98,0.009,3.708,0.008,0.158,3.884,8000000,262144,786432,9048576
3,29.10,7.10,4.78,6.36,3.05,1,1,1,c_openmp,9,1048576,32768,16,2.51,2.51,0.009,3.708,0.008,0.158,3.884,8000000,262144,786432,9048576
4,31.20,6.95,5.09,6.17,3.36,1,1,1,c_openmp,9,1048576,32768,16,2.82,2.82,0.009,3.708,0.008,0.158,3.884,8000000,262144,786432,9048576
5,30.93,7.11,4.55,6.10,3.03,1,1,1,c_openmp,9,1048576,32768,16,2.50,2.50,0.009,3.708,0.008,0.158,3.884,8000000,262144,786432,9048576
