#profile=n1000000_q32768_h0_dense_g1_j0_s17_t16
#bench_mode=cold,warmup_runs=0
#n=1000000,queries=32768,runs=5
#workload=hit_rate_pct=0,data_gap=1,data_gap_jitter=0,query_stride=17,query_effective_stride=17,query_cycle=1000000,expected_hits=0,expected_misses=32768
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.006,data_init=3.201,query_alloc=0.008,query_init=0.268,total=3.483
#buffer_bytes=data=8000000,queries=262144,batch=786432,total=9048576,data_gib=0.007451,total_gib=0.008427
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,18.66,4.49,37.34,9.17,2.14,1,1,1,c_openmp,9,1048576,32768,16,1.38,1.38,0.006,3.201,0.008,0.268,3.483,8000000,262144,786432,9048576,0.007451,0.008427,12.186,50.692,6.089,24.804,106.167,cold,0
2,11.55,2.35,3.69,11.41,1.98,1,1,1,c_openmp,9,1048576,32768,16,1.36,1.36,0.006,3.201,0.008,0.268,3.483,8000000,262144,786432,9048576,0.007451,0.008427,19.680,96.598,61.682,19.928,114.617,cold,0
3,11.04,2.13,3.61,9.59,1.95,1,1,1,c_openmp,9,1048576,32768,16,1.35,1.35,0.006,3.201,0.008,0.268,3.483,8000000,262144,786432,9048576,0.007451,0.008427,20.599,106.519,63.035,23.718,116.795,cold,0
4,10.46,2.14,3.53,7.16,1.93,1,1,1,c_openmp,9,1048576,32768,16,1.31,1.31,0.006,3.201,0.008,0.268,3.483,8000000,262144,786432,9048576,0.007451,0.008427,21.733,106.402,64.494,31.753,118.010,cold,0
5,11.35,2.63,4.12,7.21,2.08,1,1,1,c_openmp,9,1048576,32768,16,1.45,1.45,0.006,3.201,0.008,0.268,3.483,8000000,262144,786432,9048576,0.007451,0.008427,20.027,86.384,55.125,31.528,109.179,cold,0
