#profile=n1000000_q8192_h0_jitter_g8_j8_s17_t16
#bench_mode=cold,warmup_runs=0
#n=1000000,queries=8192,runs=5
#workload=hit_rate_pct=0,data_gap=8,data_gap_jitter=8,query_stride=17,query_effective_stride=17,query_cycle=1000000,expected_hits=0,expected_misses=8192
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.010,data_init=7.647,query_alloc=0.014,query_init=0.022,total=7.693
#buffer_bytes=data=8000000,queries=65536,batch=196608,total=8262144,data_gib=0.007451,total_gib=0.007695
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,11.08,4.34,174.52,96.58,7.32,1,1,1,scalar,9,1048576,8192,16,6.22,6.22,0.010,7.647,0.014,0.022,7.693,8000000,65536,196608,8262144,0.007451,0.007695,82.085,209.793,5.211,9.417,124.326,cold,0
2,17.11,4.96,82.32,14.98,3.71,1,1,1,scalar,9,1048576,8192,16,2.88,2.88,0.010,7.647,0.014,0.022,7.693,8000000,65536,196608,8262144,0.007451,0.007695,53.145,183.200,11.048,60.706,244.827,cold,0
3,12.14,2.52,8.97,17.06,7.08,1,1,1,scalar,9,1048576,8192,16,5.03,5.03,0.010,7.647,0.014,0.022,7.693,8000000,65536,196608,8262144,0.007451,0.007695,74.940,361.573,101.447,53.312,128.509,cold,0
4,13.56,6.14,9.02,12.49,3.56,1,1,1,scalar,9,1048576,8192,16,2.59,2.59,0.010,7.647,0.014,0.022,7.693,8000000,65536,196608,8262144,0.007451,0.007695,67.090,148.202,100.788,72.804,255.805,cold,0
5,11.54,2.39,8.27,8.04,3.77,1,1,1,scalar,9,1048576,8192,16,2.77,2.77,0.010,7.647,0.014,0.022,7.693,8000000,65536,196608,8262144,0.007451,0.007695,78.785,380.035,109.991,113.057,241.096,cold,0
