#profile=n1000000_q200000_h75_sparse_g16_j0_s257_t16
#bench_mode=cold,warmup_runs=0
#n=1000000,queries=200000,runs=5
#workload=hit_rate_pct=75,data_gap=16,data_gap_jitter=0,query_stride=257,query_effective_stride=257,query_cycle=1000000,expected_hits=150000,expected_misses=50000
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.006,data_init=3.596,query_alloc=0.012,query_init=1.550,total=5.164
#buffer_bytes=data=8000000,queries=1600000,batch=4800000,total=14400000,data_gib=0.007451,total_gib=0.013411
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,63.67,8.05,10.05,17.35,3.23,1,1,1,c_openmp,9,1048576,262144,16,2.27,2.27,0.006,3.596,0.012,1.550,5.164,8000000,1600000,4800000,14400000,0.007451,0.013411,0.585,4.626,3.709,2.147,11.522,cold,0
2,66.30,7.82,3.81,16.37,3.08,1,1,1,c_openmp,9,1048576,262144,16,2.15,2.15,0.006,3.596,0.012,1.550,5.164,8000000,1600000,4800000,14400000,0.007451,0.013411,0.562,4.761,9.781,2.276,12.094,cold,0
3,62.65,7.90,4.57,30.02,4.13,1,1,1,c_openmp,9,1048576,262144,16,3.20,3.20,0.006,3.596,0.012,1.550,5.164,8000000,1600000,4800000,14400000,0.007451,0.013411,0.595,4.715,8.144,1.241,9.012,cold,0
4,66.46,7.93,4.05,34.63,4.27,1,1,1,c_openmp,9,1048576,262144,16,2.50,2.50,0.006,3.596,0.012,1.550,5.164,8000000,1600000,4800000,14400000,0.007451,0.013411,0.560,4.699,9.189,1.076,8.728,cold,0
5,70.07,8.94,4.07,33.37,3.70,1,1,1,c_openmp,9,1048576,262144,16,2.63,2.63,0.006,3.596,0.012,1.550,5.164,8000000,1600000,4800000,14400000,0.007451,0.013411,0.532,4.165,9.160,1.116,10.077,cold,0
