#profile=n1000000_q8192_h25_jitter_g8_j8_s257_t16
#bench_mode=cold,warmup_runs=0
#n=1000000,queries=8192,runs=5
#workload=hit_rate_pct=25,data_gap=8,data_gap_jitter=8,query_stride=257,query_effective_stride=257,query_cycle=1000000,expected_hits=2050,expected_misses=6142
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.009,data_init=4.033,query_alloc=0.006,query_init=0.031,total=4.080
#buffer_bytes=data=8000000,queries=65536,batch=196608,total=8262144,data_gib=0.007451,total_gib=0.007695
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,30.57,4.45,74.36,14.32,5.86,1,1,1,scalar,9,1048576,8192,16,5.21,5.21,0.009,4.033,0.006,0.031,4.080,8000000,65536,196608,8262144,0.007451,0.007695,29.749,204.305,12.231,63.503,155.262,cold,0
2,29.18,4.37,5.41,14.43,5.13,1,1,1,scalar,9,1048576,8192,16,4.56,4.56,0.009,4.033,0.006,0.031,4.080,8000000,65536,196608,8262144,0.007451,0.007695,31.169,208.221,168.200,63.037,177.129,cold,0
3,27.20,4.26,6.74,13.32,4.96,1,1,1,scalar,9,1048576,8192,16,4.37,4.37,0.009,4.033,0.006,0.031,4.080,8000000,65536,196608,8262144,0.007451,0.007695,33.435,213.545,135.004,68.271,183.182,cold,0
4,27.58,4.53,4.50,7.75,5.32,1,1,1,scalar,9,1048576,8192,16,4.69,4.69,0.009,4.033,0.006,0.031,4.080,8000000,65536,196608,8262144,0.007451,0.007695,32.978,200.624,202.006,117.339,170.861,cold,0
5,27.51,4.41,3.59,7.33,5.13,1,1,1,scalar,9,1048576,8192,16,4.52,4.52,0.009,4.033,0.006,0.031,4.080,8000000,65536,196608,8262144,0.007451,0.007695,33.056,206.324,253.361,124.034,177.142,cold,0
