#profile=n1000000_q200000_h0_dense_g1_j0_s17_t16
#bench_mode=cold,warmup_runs=0
#n=1000000,queries=200000,runs=5
#workload=hit_rate_pct=0,data_gap=1,data_gap_jitter=0,query_stride=17,query_effective_stride=17,query_cycle=1000000,expected_hits=0,expected_misses=200000
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.006,data_init=3.436,query_alloc=0.011,query_init=1.272,total=4.726
#buffer_bytes=data=8000000,queries=1600000,batch=4800000,total=14400000,data_gib=0.007451,total_gib=0.013411
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,18.48,3.91,10.14,17.34,2.22,1,1,1,c_openmp,9,1048576,262144,16,1.47,1.47,0.006,3.436,0.011,1.272,4.726,8000000,1600000,4800000,14400000,0.007451,0.013411,2.016,9.519,3.672,2.149,16.761,cold,0
2,11.13,2.18,2.62,9.34,1.80,1,1,1,c_openmp,9,1048576,262144,16,1.10,1.10,0.006,3.436,0.011,1.272,4.726,8000000,1600000,4800000,14400000,0.007451,0.013411,3.348,17.124,14.200,3.988,20.672,cold,0
3,10.62,2.20,1.73,11.46,2.05,1,1,1,c_openmp,9,1048576,262144,16,0.98,0.98,0.006,3.436,0.011,1.272,4.726,8000000,1600000,4800000,14400000,0.007451,0.013411,3.509,16.919,21.589,3.250,18.165,cold,0
4,10.67,2.19,2.04,8.01,1.77,1,1,1,c_openmp,9,1048576,262144,16,1.05,1.05,0.006,3.436,0.011,1.272,4.726,8000000,1600000,4800000,14400000,0.007451,0.013411,3.492,16.998,18.301,4.651,21.007,cold,0
5,10.68,2.21,2.46,10.00,2.71,1,1,1,c_openmp,9,1048576,262144,16,1.24,1.24,0.006,3.436,0.011,1.272,4.726,8000000,1600000,4800000,14400000,0.007451,0.013411,3.488,16.842,15.164,3.726,13.761,cold,0
