#profile=n1000000_q512_h0_sparse_g16_j0_s257_t16
#bench_mode=cold,warmup_runs=0
#n=1000000,queries=512,runs=5
#workload=hit_rate_pct=0,data_gap=16,data_gap_jitter=0,query_stride=257,query_effective_stride=257,query_cycle=1000000,expected_hits=0,expected_misses=512
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.007,data_init=3.756,query_alloc=0.003,query_init=0.001,total=3.766
#buffer_bytes=data=8000000,queries=4096,batch=12288,total=8016384,data_gib=0.007451,total_gib=0.007466
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,12.56,2.91,1164.32,54.12,5.31,1,1,1,scalar,9,1048576,512,16,4.04,4.04,0.007,3.756,0.003,0.001,3.766,8000000,4096,12288,8016384,0.007451,0.007466,1158.902,5007.111,12.498,268.858,2740.191,cold,0
2,11.88,2.55,40.29,39.02,4.63,1,1,1,scalar,9,1048576,512,16,3.74,3.74,0.007,3.756,0.003,0.001,3.766,8000000,4096,12288,8016384,0.007451,0.007466,1224.418,5696.163,361.170,372.921,3142.379,cold,0
3,11.87,2.52,47.59,32.97,3.76,1,1,1,scalar,9,1048576,512,16,2.76,2.76,0.007,3.756,0.003,0.001,3.766,8000000,4096,12288,8016384,0.007451,0.007466,1225.828,5775.644,305.778,441.307,3866.414,cold,0
4,11.88,2.51,53.76,40.85,4.18,1,1,1,scalar,9,1048576,512,16,3.41,3.41,0.007,3.756,0.003,0.001,3.766,8000000,4096,12288,8016384,0.007451,0.007466,1225.223,5802.633,270.704,356.266,3481.580,cold,0
5,11.88,2.50,48.28,27.90,5.68,1,1,1,scalar,9,1048576,512,16,4.54,4.54,0.007,3.756,0.003,0.001,3.766,8000000,4096,12288,8016384,0.007451,0.007466,1225.021,5811.685,301.435,521.530,2563.861,cold,0
