#profile=n1000000_q50000_h100_dense_g1_j0_s17_t16
#n=1000000,queries=50000,runs=5
#workload=hit_rate_pct=100,data_gap=1,data_gap_jitter=0,query_stride=17,query_effective_stride=17,query_cycle=1000000,expected_hits=50000,expected_misses=0
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key
1,43.16,8.08,15.30,13.54,4.94,1,1,1,c_openmp,9,1048576,65536,16,4.39,4.39
2,43.56,7.59,4.66,11.47,3.22,1,1,1,c_openmp,9,1048576,65536,16,2.68,2.68
3,62.40,7.52,5.29,12.34,3.49,1,1,1,c_openmp,9,1048576,65536,16,2.92,2.92
4,70.32,8.00,3.88,12.23,3.26,1,1,1,c_openmp,9,1048576,65536,16,2.69,2.69
5,45.25,7.47,4.14,12.75,2.93,1,1,1,c_openmp,9,1048576,65536,16,2.39,2.39
