#profile=mem_n8000000_q1000000_h50_jitter_g8_j8_s17_t16_mwarm
#bench_mode=warm,warmup_runs=1
#n=8000000,queries=1000000,runs=3
#workload=hit_rate_pct=50,data_gap=8,data_gap_jitter=8,query_stride=17,query_effective_stride=17,query_cycle=8000000,expected_hits=500000,expected_misses=500000
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.004,data_init=32.667,query_alloc=0.016,query_init=6.188,total=38.874
#buffer_bytes=data=64000000,queries=8000000,batch=24000000,total=96000000,data_gib=0.059605,total_gib=0.089407
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,33.52,8.50,3.94,15.84,3.53,1,1,1,c_openmp,9,8388608,1048576,16,1.99,1.99,0.004,32.667,0.016,6.188,38.874,64000000,8000000,24000000,96000000,0.059605,0.089407,1.778,7.010,15.133,3.764,16.866,warm,1
2,33.54,8.69,4.17,17.04,3.58,1,1,1,c_openmp,9,8388608,1048576,16,1.97,1.97,0.004,32.667,0.016,6.188,38.874,64000000,8000000,24000000,96000000,0.059605,0.089407,1.777,6.859,14.305,3.497,16.654,warm,1
3,32.89,8.41,3.82,15.49,3.48,1,1,1,c_openmp,9,8388608,1048576,16,1.90,1.90,0.004,32.667,0.016,6.188,38.874,64000000,8000000,24000000,96000000,0.059605,0.089407,1.812,7.088,15.601,3.848,17.123,warm,1
