#profile=mem_n128000000_q1000000_h0_dense_g1_j0_s17_t16_mcold
#bench_mode=cold,warmup_runs=0
#n=128000000,queries=1000000,runs=3
#workload=hit_rate_pct=0,data_gap=1,data_gap_jitter=0,query_stride=17,query_effective_stride=17,query_cycle=128000000,expected_hits=0,expected_misses=1000000
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.009,data_init=426.873,query_alloc=0.014,query_init=2.699,total=429.595
#buffer_bytes=data=1024000000,queries=8000000,batch=24000000,total=1056000000,data_gib=0.953674,total_gib=0.983477
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,15.30,2.19,7.39,11.73,2.73,1,1,1,c_openmp,9,134217728,1048576,16,1.04,1.04,0.009,426.873,0.014,2.699,429.595,1024000000,8000000,24000000,1056000000,0.953674,0.983477,62.326,436.398,129.088,81.336,349.716,cold,0
2,15.79,2.19,2.40,11.27,2.67,1,1,1,c_openmp,9,134217728,1048576,16,1.00,1.00,0.009,426.873,0.014,2.699,429.595,1024000000,8000000,24000000,1056000000,0.953674,0.983477,60.400,435.294,397.402,84.658,357.719,cold,0
3,15.65,2.22,2.51,12.36,2.67,1,1,1,c_openmp,9,134217728,1048576,16,1.00,1.00,0.009,426.873,0.014,2.699,429.595,1024000000,8000000,24000000,1056000000,0.953674,0.983477,60.928,430.370,379.886,77.171,356.739,cold,0
