#profile=mem_n1000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold
#bench_mode=cold,warmup_runs=0
#n=1000000,queries=1000000,runs=3
#workload=hit_rate_pct=0,data_gap=8,data_gap_jitter=8,query_stride=17,query_effective_stride=17,query_cycle=1000000,expected_hits=0,expected_misses=1000000
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.006,data_init=5.950,query_alloc=0.008,query_init=2.867,total=8.831
#buffer_bytes=data=8000000,queries=8000000,batch=24000000,total=40000000,data_gib=0.007451,total_gib=0.037253
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,10.60,2.18,7.51,11.27,2.66,1,1,1,c_openmp,9,1048576,1048576,16,0.90,0.90,0.006,5.950,0.008,2.867,8.831,8000000,8000000,24000000,40000000,0.007451,0.037253,0.703,3.421,0.992,0.661,2.803,cold,0
2,11.33,2.35,3.01,10.41,2.65,1,1,1,c_openmp,9,1048576,1048576,16,0.97,0.97,0.006,5.950,0.008,2.867,8.831,8000000,8000000,24000000,40000000,0.007451,0.037253,0.658,3.175,2.477,0.716,2.810,cold,0
3,11.31,2.30,2.36,10.57,2.88,1,1,1,c_openmp,9,1048576,1048576,16,1.11,1.11,0.006,5.950,0.008,2.867,8.831,8000000,8000000,24000000,40000000,0.007451,0.037253,0.659,3.246,3.155,0.705,2.587,cold,0
