#profile=mem_n8000000_q4000000_h100_dense_g1_j0_s17_t32_mwarm
#bench_mode=warm,warmup_runs=1
#n=8000000,queries=4000000,runs=3
#workload=hit_rate_pct=100,data_gap=1,data_gap_jitter=0,query_stride=17,query_effective_stride=17,query_cycle=8000000,expected_hits=4000000,expected_misses=0
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.007,data_init=36.675,query_alloc=0.024,query_init=36.672,total=73.379
#buffer_bytes=data=64000000,queries=32000000,batch=96000000,total=192000000,data_gib=0.059605,total_gib=0.178814
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,64.68,11.81,4.84,20.66,4.79,1,1,1,c_openmp,9,8388608,4194304,32,2.82,2.82,0.007,36.675,0.024,36.672,73.379,64000000,32000000,96000000,192000000,0.059605,0.178814,0.230,1.262,3.077,0.721,3.108,warm,1
2,67.71,19.07,5.35,23.20,5.28,1,1,1,c_openmp,9,8388608,4194304,32,2.99,2.99,0.007,36.675,0.024,36.672,73.379,64000000,32000000,96000000,192000000,0.059605,0.178814,0.220,0.781,2.785,0.642,2.821,warm,1
3,72.57,17.50,5.03,27.44,5.61,1,1,1,c_openmp,9,8388608,4194304,32,3.06,3.06,0.007,36.675,0.024,36.672,73.379,64000000,32000000,96000000,192000000,0.059605,0.178814,0.205,0.851,2.963,0.543,2.658,warm,1
