#profile=mem_n8000000_q200000_h100_dense_g1_j0_s17_t32_mwarm
#bench_mode=warm,warmup_runs=1
#n=8000000,queries=200000,runs=3
#workload=hit_rate_pct=100,data_gap=1,data_gap_jitter=0,query_stride=17,query_effective_stride=17,query_cycle=8000000,expected_hits=200000,expected_misses=0
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.008,data_init=29.813,query_alloc=0.015,query_init=2.298,total=32.134
#buffer_bytes=data=64000000,queries=1600000,batch=4800000,total=70400000,data_gib=0.059605,total_gib=0.065565
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,64.71,9.18,6.08,35.46,5.22,1,1,1,c_openmp,9,8388608,262144,32,3.52,3.52,0.008,29.813,0.015,2.298,32.134,64000000,1600000,4800000,70400000,0.059605,0.065565,4.606,32.473,48.980,8.405,57.069,warm,1
2,63.99,9.00,4.90,15.77,4.44,1,1,1,c_openmp,9,8388608,262144,32,3.40,3.40,0.008,29.813,0.015,2.298,32.134,64000000,1600000,4800000,70400000,0.059605,0.065565,4.658,33.132,60.780,18.899,67.099,warm,1
3,73.72,9.19,5.23,16.35,4.62,1,1,1,c_openmp,9,8388608,262144,32,3.38,3.38,0.008,29.813,0.015,2.298,32.134,64000000,1600000,4800000,70400000,0.059605,0.065565,4.043,32.431,57.008,18.233,64.568,warm,1
