#profile=mem_n1000000_q1000000_h50_dense_g1_j0_s17_t16_mcold
#bench_mode=cold,warmup_runs=0
#n=1000000,queries=1000000,runs=3
#workload=hit_rate_pct=50,data_gap=1,data_gap_jitter=0,query_stride=17,query_effective_stride=17,query_cycle=1000000,expected_hits=500000,expected_misses=500000
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.003,data_init=3.429,query_alloc=0.006,query_init=4.242,total=7.679
#buffer_bytes=data=8000000,queries=8000000,batch=24000000,total=40000000,data_gib=0.007451,total_gib=0.037253
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,30.53,6.15,10.33,19.42,3.90,1,1,1,c_openmp,9,1048576,1048576,16,1.70,1.70,0.003,3.429,0.006,4.242,7.679,8000000,8000000,24000000,40000000,0.007451,0.037253,0.244,1.211,0.721,0.384,1.911,cold,0
2,37.90,6.38,3.73,15.89,4.94,1,1,1,c_openmp,9,1048576,1048576,16,2.82,2.82,0.003,3.429,0.006,4.242,7.679,8000000,8000000,24000000,40000000,0.007451,0.037253,0.197,1.169,1.997,0.469,1.509,cold,0
3,32.01,6.30,3.74,17.58,4.87,1,1,1,c_openmp,9,1048576,1048576,16,2.68,2.68,0.003,3.429,0.006,4.242,7.679,8000000,8000000,24000000,40000000,0.007451,0.037253,0.233,1.182,1.995,0.424,1.529,cold,0
