#profile=n1000000_q512_h25_sparse_g16_j0_s1_t16
#n=1000000,queries=512,runs=7
#workload=hit_rate_pct=25,data_gap=16,data_gap_jitter=0,query_stride=1,query_effective_stride=1,query_cycle=1000000,expected_hits=137,expected_misses=375
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key
1,18.32,4.67,926.12,0.00,5.62,0,1,1,scalar,9,1048576,512,16,4.71,4.71
2,16.86,4.33,55.44,0.00,5.71,0,1,1,scalar,9,1048576,512,16,4.55,4.55
3,13.95,4.20,38.76,0.00,8.48,0,1,1,scalar,9,1048576,512,16,6.82,6.82
4,13.19,4.09,56.43,0.00,7.01,0,1,1,scalar,9,1048576,512,16,5.15,5.15
5,12.29,4.04,43.18,0.00,8.37,0,1,1,scalar,9,1048576,512,16,6.58,6.58
6,12.20,3.97,44.40,0.00,7.29,0,1,1,scalar,9,1048576,512,16,6.13,6.13
7,11.76,4.06,48.79,0.00,7.28,0,1,1,scalar,9,1048576,512,16,5.55,5.55
