#profile=n1000000_q200000_h100_sparse_g16_j0_s257_t16
#n=1000000,queries=200000,runs=7
#workload=hit_rate_pct=100,data_gap=16,data_gap_jitter=0,query_stride=257,query_effective_stride=257,query_cycle=1000000,expected_hits=200000,expected_misses=0
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key
1,80.52,9.50,11.26,0.00,3.07,0,1,1,c_openmp,9,1048576,262144,16,2.24,2.24
2,73.90,8.61,3.05,0.00,2.81,0,1,1,c_openmp,9,1048576,262144,16,1.97,1.97
3,74.01,8.27,4.52,0.00,3.46,0,1,1,c_openmp,9,1048576,262144,16,2.43,2.43
4,73.89,8.23,3.06,0.00,3.27,0,1,1,c_openmp,9,1048576,262144,16,2.48,2.48
5,74.04,8.28,3.59,0.00,3.65,0,1,1,c_openmp,9,1048576,262144,16,2.79,2.79
6,73.75,8.15,3.97,0.00,4.08,0,1,1,c_openmp,9,1048576,262144,16,3.12,3.12
7,74.49,8.23,3.49,0.00,3.34,0,1,1,c_openmp,9,1048576,262144,16,2.56,2.56
