#profile=n1000000_q8192_h25_sparse_g16_j0_s1_t16
#n=1000000,queries=8192,runs=7
#workload=hit_rate_pct=25,data_gap=16,data_gap_jitter=0,query_stride=1,query_effective_stride=1,query_cycle=1000000,expected_hits=2050,expected_misses=6142
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key
1,28.80,8.08,80.17,0.00,5.07,0,1,1,scalar,9,1048576,8192,16,4.37,4.37
2,18.17,4.18,4.69,0.00,5.52,0,1,1,scalar,9,1048576,8192,16,4.37,4.37
3,17.96,4.23,4.99,0.00,5.57,0,1,1,scalar,9,1048576,8192,16,4.37,4.37
4,17.36,4.16,10.37,0.00,5.71,0,1,1,scalar,9,1048576,8192,16,4.37,4.37
5,16.50,3.63,3.99,0.00,4.89,0,1,1,scalar,9,1048576,8192,16,3.81,3.81
6,14.78,3.63,4.92,0.00,4.91,0,1,1,scalar,9,1048576,8192,16,3.80,3.80
7,14.58,3.63,4.37,0.00,4.96,0,1,1,scalar,9,1048576,8192,16,3.81,3.81
