#profile=n1000000_q200000_h0_jitter_g8_j8_s257_t16
#n=1000000,queries=200000,runs=7
#workload=hit_rate_pct=0,data_gap=8,data_gap_jitter=8,query_stride=257,query_effective_stride=257,query_cycle=1000000,expected_hits=0,expected_misses=200000
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key
1,18.92,3.06,13.70,0.00,2.60,0,1,1,c_openmp,9,1048576,262144,16,1.11,1.11
2,13.98,2.28,2.29,0.00,1.80,0,1,1,c_openmp,9,1048576,262144,16,0.88,0.88
3,11.11,2.30,1.93,0.00,1.80,0,1,1,c_openmp,9,1048576,262144,16,0.88,0.88
4,11.16,2.28,2.52,0.00,1.84,0,1,1,c_openmp,9,1048576,262144,16,0.94,0.94
5,11.80,3.14,2.13,0.00,1.76,0,1,1,c_openmp,9,1048576,262144,16,0.84,0.84
6,10.69,2.32,2.38,0.00,1.69,0,1,1,c_openmp,9,1048576,262144,16,0.81,0.81
7,10.56,2.18,1.69,0.00,1.65,0,1,1,c_openmp,9,1048576,262144,16,0.82,0.82
