#profile=n1000000_q32768_h50_sparse_g16_j0_s1_t16
#n=1000000,queries=32768,runs=7
#workload=hit_rate_pct=50,data_gap=16,data_gap_jitter=0,query_stride=1,query_effective_stride=1,query_cycle=1000000,expected_hits=16400,expected_misses=16368
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key
1,23.85,6.43,22.56,0.00,2.68,0,1,1,c_openmp,9,1048576,32768,16,1.80,1.80
2,21.78,5.18,3.32,0.00,3.06,0,1,1,c_openmp,9,1048576,32768,16,2.12,2.12
3,20.39,4.91,3.29,0.00,3.79,0,1,1,c_openmp,9,1048576,32768,16,2.79,2.79
4,20.48,4.92,4.70,0.00,3.15,0,1,1,c_openmp,9,1048576,32768,16,2.22,2.22
5,20.50,4.83,4.45,0.00,2.94,0,1,1,c_openmp,9,1048576,32768,16,2.06,2.06
6,20.54,4.91,4.59,0.00,3.04,0,1,1,c_openmp,9,1048576,32768,16,2.14,2.14
7,20.30,4.92,4.07,0.00,3.01,0,1,1,c_openmp,9,1048576,32768,16,2.10,2.10
