#profile=n1000000_q512_h75_sparse_g16_j0_s257_t16
#n=1000000,queries=512,runs=7
#workload=hit_rate_pct=75,data_gap=16,data_gap_jitter=0,query_stride=257,query_effective_stride=257,query_cycle=1000000,expected_hits=387,expected_misses=125
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key
1,88.65,8.37,908.96,0.00,9.40,0,1,1,scalar,9,1048576,512,16,8.51,8.51
2,43.02,6.68,69.11,0.00,11.78,0,1,1,scalar,9,1048576,512,16,10.09,10.09
3,35.26,6.30,54.19,0.00,10.47,0,1,1,scalar,9,1048576,512,16,8.84,8.84
4,31.37,6.28,51.59,0.00,9.68,0,1,1,scalar,9,1048576,512,16,8.09,8.09
5,31.32,6.25,52.42,0.00,11.55,0,1,1,scalar,9,1048576,512,16,9.67,9.67
6,29.85,6.46,59.45,0.00,8.35,0,1,1,scalar,9,1048576,512,16,6.92,6.92
7,28.36,6.40,54.58,0.00,10.23,0,1,1,scalar,9,1048576,512,16,8.60,8.60
