#profile=n1000000_q200000_h0_dense_g1_j0_s17_t16
#n=1000000,queries=200000,runs=5
#workload=hit_rate_pct=0,data_gap=1,data_gap_jitter=0,query_stride=17,query_effective_stride=17,query_cycle=1000000,expected_hits=0,expected_misses=200000
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key
1,11.21,2.35,8.40,9.82,1.89,1,1,1,c_openmp,9,1048576,262144,16,1.13,1.13
2,11.31,2.28,2.51,8.54,1.73,1,1,1,c_openmp,9,1048576,262144,16,0.91,0.91
3,11.45,2.37,2.23,9.23,1.81,1,1,1,c_openmp,9,1048576,262144,16,1.03,1.03
4,11.63,2.35,2.30,9.17,1.72,1,1,1,c_openmp,9,1048576,262144,16,0.97,0.97
5,11.20,3.03,2.29,8.34,1.77,1,1,1,c_openmp,9,1048576,262144,16,0.89,0.89
