#profile=mem_n1000000_q200000_h100_dense_g1_j0_s17_t24_mwarm
#bench_mode=warm,warmup_runs=1
#n=1000000,queries=200000,runs=3
#workload=hit_rate_pct=100,data_gap=1,data_gap_jitter=0,query_stride=17,query_effective_stride=17,query_cycle=1000000,expected_hits=200000,expected_misses=0
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.005,data_init=3.957,query_alloc=0.009,query_init=2.039,total=6.009
#buffer_bytes=data=8000000,queries=1600000,batch=4800000,total=14400000,data_gib=0.007451,total_gib=0.013411
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,51.60,10.87,7.97,23.62,6.89,1,1,1,c_openmp,9,1048576,262144,24,5.44,5.44,0.005,3.957,0.009,2.039,6.009,8000000,1600000,4800000,14400000,0.007451,0.013411,0.722,3.427,4.672,1.577,5.407,warm,1
2,59.40,10.69,8.17,24.30,7.64,1,1,1,c_openmp,9,1048576,262144,24,4.76,4.76,0.005,3.957,0.009,2.039,6.009,8000000,1600000,4800000,14400000,0.007451,0.013411,0.627,3.483,4.560,1.533,4.877,warm,1
3,85.13,19.51,9.74,20.56,3.76,1,1,1,c_openmp,9,1048576,262144,24,2.66,2.66,0.005,3.957,0.009,2.039,6.009,8000000,1600000,4800000,14400000,0.007451,0.013411,0.438,1.910,3.823,1.812,9.906,warm,1
