#profile=mem_n8000000_q4000000_h100_dense_g1_j0_s17_t24_mcold
#bench_mode=cold,warmup_runs=0
#n=8000000,queries=4000000,runs=3
#workload=hit_rate_pct=100,data_gap=1,data_gap_jitter=0,query_stride=17,query_effective_stride=17,query_cycle=8000000,expected_hits=4000000,expected_misses=0
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.003,data_init=28.304,query_alloc=0.013,query_init=31.280,total=59.599
#buffer_bytes=data=64000000,queries=32000000,batch=96000000,total=192000000,data_gib=0.059605,total_gib=0.178814
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,68.24,14.20,11.51,20.04,4.87,1,1,1,c_openmp,9,8388608,4194304,24,2.89,2.89,0.003,28.304,0.013,31.280,59.599,64000000,32000000,96000000,192000000,0.059605,0.178814,0.218,1.050,1.294,0.743,3.061,cold,0
2,65.71,14.85,4.93,20.06,4.80,1,1,1,c_openmp,9,8388608,4194304,24,2.82,2.82,0.003,28.304,0.013,31.280,59.599,64000000,32000000,96000000,192000000,0.059605,0.178814,0.227,1.003,3.022,0.743,3.107,cold,0
3,66.35,16.52,5.66,22.22,6.84,1,1,1,c_openmp,9,8388608,4194304,24,3.58,3.58,0.003,28.304,0.013,31.280,59.599,64000000,32000000,96000000,192000000,0.059605,0.178814,0.225,0.902,2.633,0.671,2.180,cold,0
