#profile=mem_n1000000_q1000000_h50_jitter_g8_j8_s17_t1_mcold
#bench_mode=cold,warmup_runs=0
#n=1000000,queries=1000000,runs=3
#workload=hit_rate_pct=50,data_gap=8,data_gap_jitter=8,query_stride=17,query_effective_stride=17,query_cycle=1000000,expected_hits=500000,expected_misses=500000
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.006,data_init=7.208,query_alloc=0.011,query_init=7.502,total=14.727
#buffer_bytes=data=8000000,queries=8000000,batch=24000000,total=40000000,data_gib=0.007451,total_gib=0.037253
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,34.79,8.49,17.20,48.50,11.62,1,1,1,scalar,9,1048576,1048576,1,9.65,9.65,0.006,7.208,0.011,7.502,14.727,8000000,8000000,24000000,40000000,0.007451,0.037253,0.214,0.878,0.433,0.154,0.641,cold,0
2,33.38,7.54,8.85,53.04,10.85,1,1,1,scalar,9,1048576,1048576,1,8.88,8.88,0.006,7.208,0.011,7.502,14.727,8000000,8000000,24000000,40000000,0.007451,0.037253,0.223,0.988,0.842,0.140,0.687,cold,0
3,30.43,8.41,11.84,51.26,11.97,1,1,1,scalar,9,1048576,1048576,1,10.11,10.11,0.006,7.208,0.011,7.502,14.727,8000000,8000000,24000000,40000000,0.007451,0.037253,0.245,0.886,0.629,0.145,0.622,cold,0
