#profile=mem_n1000000_q1000000_h50_dense_g1_j0_s17_t1_mwarm
#bench_mode=warm,warmup_runs=1
#n=1000000,queries=1000000,runs=3
#workload=hit_rate_pct=50,data_gap=1,data_gap_jitter=0,query_stride=17,query_effective_stride=17,query_cycle=1000000,expected_hits=500000,expected_misses=500000
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.003,data_init=3.330,query_alloc=0.006,query_init=5.276,total=8.615
#buffer_bytes=data=8000000,queries=8000000,batch=24000000,total=40000000,data_gib=0.007451,total_gib=0.037253
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,33.40,8.73,10.06,49.19,10.25,1,1,1,scalar,9,1048576,1048576,1,8.58,8.58,0.003,3.330,0.006,5.276,8.615,8000000,8000000,24000000,40000000,0.007451,0.037253,0.223,0.854,0.740,0.151,0.727,warm,1
2,30.91,8.27,9.29,55.58,14.62,1,1,1,scalar,9,1048576,1048576,1,12.37,12.37,0.003,3.330,0.006,5.276,8.615,8000000,8000000,24000000,40000000,0.007451,0.037253,0.241,0.901,0.802,0.134,0.510,warm,1
3,32.47,7.93,12.74,48.70,12.27,1,1,1,scalar,9,1048576,1048576,1,10.25,10.25,0.003,3.330,0.006,5.276,8.615,8000000,8000000,24000000,40000000,0.007451,0.037253,0.229,0.939,0.585,0.153,0.607,warm,1
