#profile=mem_n32000000_q1000000_h50_dense_g1_j0_s1_t8_mwarm
#bench_mode=warm,warmup_runs=1
#n=32000000,queries=1000000,runs=3
#workload=hit_rate_pct=50,data_gap=1,data_gap_jitter=0,query_stride=1,query_effective_stride=1,query_cycle=32000000,expected_hits=500000,expected_misses=500000
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.006,data_init=116.024,query_alloc=0.017,query_init=3.240,total=119.287
#buffer_bytes=data=256000000,queries=8000000,batch=24000000,total=288000000,data_gib=0.238419,total_gib=0.268221
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,30.13,9.16,5.90,17.24,3.90,1,1,1,c_openmp,9,33554432,1048576,8,2.21,2.21,0.006,116.024,0.017,3.240,119.287,256000000,8000000,24000000,288000000,0.238419,0.268221,7.914,26.037,40.400,13.833,61.134,warm,1
2,27.64,6.53,4.70,17.84,3.99,1,1,1,c_openmp,9,33554432,1048576,8,2.18,2.18,0.006,116.024,0.017,3.240,119.287,256000000,8000000,24000000,288000000,0.238419,0.268221,8.624,36.490,50.759,13.362,59.816,warm,1
3,27.96,6.32,4.25,16.28,3.83,1,1,1,c_openmp,9,33554432,1048576,8,2.16,2.16,0.006,116.024,0.017,3.240,119.287,256000000,8000000,24000000,288000000,0.238419,0.268221,8.526,37.734,56.081,14.645,62.227,warm,1
