#profile=mem_n8000000_q1000000_h50_jitter_g8_j8_s1_t8_mcold
#bench_mode=cold,warmup_runs=0
#n=8000000,queries=1000000,runs=3
#workload=hit_rate_pct=50,data_gap=8,data_gap_jitter=8,query_stride=1,query_effective_stride=1,query_cycle=8000000,expected_hits=500000,expected_misses=500000
#workload_pattern=data[0]=0,data[i]=data[i-1]+data_gap+jitter(i),jitter=0..data_gap_jitter,hit_when=i%100<hit_rate_pct,hit_index_stride=query_stride%n,miss_key=-1-(i%1000000)
#env=NOT_STISLA_PROFILE,NOT_STISLA_BENCH_MODE,NOT_STISLA_WARMUP_RUNS,NOT_STISLA_N,NOT_STISLA_QUERIES,NOT_STISLA_RUNS,NOT_STISLA_HIT_RATE_PCT,NOT_STISLA_DATA_GAP,NOT_STISLA_DATA_GAP_JITTER,NOT_STISLA_QUERY_STRIDE
#setup_ms=data_alloc=0.006,data_init=35.637,query_alloc=0.021,query_init=3.835,total=39.498
#buffer_bytes=data=64000000,queries=8000000,batch=24000000,total=96000000,data_gib=0.059605,total_gib=0.089407
#effective_data_gib_s=dataset_gib/(backend_ns_per_key*queries);proxy_not_raw_dram_bandwidth
#auto_backend_bench=1
#run,binary_ns,not_stisla_ns,batch_parallel_ns,fortran_batch_ns,auto_batch_ns,fortran_available,auto_backend_bench,auto_decision_available,auto_backend,auto_cpu_features,auto_array_bucket,auto_query_bucket,auto_thread_count,auto_estimated_ns_per_key,auto_p95_ns_per_key,data_alloc_ms,data_init_ms,query_alloc_ms,query_init_ms,setup_total_ms,data_bytes,query_bytes,batch_bytes,total_buffer_bytes,data_gib,total_buffer_gib,binary_effective_gib_s,not_stisla_effective_gib_s,batch_parallel_effective_gib_s,fortran_effective_gib_s,auto_effective_gib_s,bench_mode,warmup_runs
1,25.34,5.83,9.59,21.67,4.62,1,1,1,c_openmp,9,8388608,1048576,8,2.51,2.51,0.006,35.637,0.021,3.835,39.498,64000000,8000000,24000000,96000000,0.059605,0.089407,2.352,10.215,6.213,2.751,12.897,cold,0
2,25.03,7.02,4.50,18.38,4.20,1,1,1,c_openmp,9,8388608,1048576,8,2.35,2.35,0.006,35.637,0.021,3.835,39.498,64000000,8000000,24000000,96000000,0.059605,0.089407,2.381,8.486,13.252,3.243,14.187,cold,0
3,25.88,7.24,6.08,17.89,3.94,1,1,1,c_openmp,9,8388608,1048576,8,2.23,2.23,0.006,35.637,0.021,3.835,39.498,64000000,8000000,24000000,96000000,0.059605,0.089407,2.303,8.228,9.804,3.331,15.114,cold,0
